Object,City of the judge’s office,Tax Related,Number of Lawyers,Number of Legal Parties,Number of Persons,Settlement,Value formatted,Unified Contribution formatted
OR-145009,Bari,0,2,2,2,9005.671952125711,17382.340514072483,237.0
OR-140999,Palermo,0,2,2,1,961.8573228394192,1988.1287728295029,98.0
OR-145999,Milano,0,1,1,1,530.1315385237051,550.0,43.0
OR-145009,Napoli,0,3,1,2,3408.1875122665724,3696.6118324759645,98.0
OR-140999,Palermo,0,1,1,1,800.0,800.0,43.0
OR-140999,Napoli,1,1,1,2,300.0,1032.0,43.0
OR-145009,Milano,0,2,1,1,406.40186567052064,3583.1365989968435,98.0
OR-140999,Milano,0,1,1,1,2100.643746063205,2258.2139615661163,98.0
OR-145009,Palermo,0,2,1,1,3246.5095458555556,5200.0,85.0
OR-145999,Milano,0,1,1,1,2302.426053447679,2353.1846720725466,98.0
OR-140999,Milano,0,2,2,1,1000.0000000000001,1346.568935406146,98.0
OR-145009,Napoli,0,2,1,1,400.00000000000006,5000.0,98.0
OR-140999,Milano,0,2,0,2,1032.9338731829625,1032.91,21.5
OR-140999,*,0,1,1,1,3189.4579169681847,1742.0133161705137,98.0
OR-140999,Roma,0,1,0,2,509.4191353530024,517.5874707431564,43.0
OR-140999,Milano,0,2,1,1,86.88493799925705,100.06192137541488,43.0
OR-145009,Torino,0,2,1,1,3758.62865091188,3709.6452839628196,98.0
OR-145009,Napoli,0,3,2,1,1500.0,2599.9222987393005,85.0
OR-145999,Milano,0,1,1,1,232.71988311433276,500.0,43.0
OR-145999,Firenze,0,1,2,1,3087.736279847284,3118.830883123028,98.0
OR-145999,Bologna,0,2,1,1,1031.5639030521377,1263.3775632353743,49.0
OR-140999,*,0,2,2,1,2917.7089792304137,2848.4872476077853,98.0
OR-140999,Milano,0,2,1,1,1000.0000000000001,3205.2840158810827,98.0
OR-140999,Firenze,0,2,1,1,4286.143251717307,4000.0,85.0
OR-145009,Milano,0,2,1,2,1199.9999999999998,1207.058864908934,98.0
OR-145999,Genova,0,2,0,2,231.00787852968617,238.36527513392062,43.0
OR-145009,Bari,0,1,3,0,1412.1229321505948,3000.0,98.0
OR-145009,Bari,0,2,2,1,742.261765673442,5200.0,98.0
OR-140999,Napoli,0,2,1,1,1057.2104187623654,1042.0603317252828,43.0
OR-140999,Milano,0,2,1,1,13926.773302750531,20000.0,237.0
OR-140999,Roma,0,2,1,1,32.28553532945635,151.766671775506,43.0
OR-145999,Roma,0,1,1,1,297.92648500308314,292.5426768862513,43.0
OR-140999,Roma,0,2,0,2,386.40695539533516,1043.8697905365354,21.5
OR-140999,Firenze,0,1,0,2,308.2068975226802,307.0010019855382,43.0
OR-140999,Palermo,0,2,1,2,1100.0,1100.0,37.0
OR-140999,*,0,1,1,1,750.0000000000001,750.2030573390406,43.0
*,*,1,2,1,2,1039.9080878069453,1000.0,43.0
OR-140999,Palermo,0,2,1,1,149.1313984239659,157.44880779325166,43.0
OR-140999,Firenze,0,1,0,2,4521.846410012964,4500.0,98.0
OR-145999,Genova,0,3,2,1,3245.2653761851616,5000.0,98.0
OR-145009,Roma,0,2,1,2,346.58983266483057,4571.051086985144,98.0
OR-145999,*,0,1,0,2,1047.381310486753,1830.2117474195054,98.0
OR-140999,Milano,0,2,1,1,197.87510739760683,200.0,43.0
OR-140999,Milano,0,2,1,1,250.0,250.0,43.0
OR-140999,Torino,0,1,2,0,1292.8174224509303,1288.8452899771228,98.0
OR-145009,Napoli,0,2,1,2,902.3109898286014,1032.0,43.0
OR-145009,Napoli,0,1,1,1,1388.6214662947662,1406.7613785287892,98.0
OR-145009,Milano,0,2,1,1,334.82581752875456,1401.673899519805,98.0
OR-140999,Milano,0,1,3,1,817.2012193663367,851.3307893626692,43.0
OR-140999,Napoli,0,2,2,1,1864.436828655116,4139.156689446014,98.0
OR-145009,Torino,0,2,1,1,1300.0,4699.764225982372,98.0
OR-140999,Bari,0,1,2,0,5000.0,5000.0,98.0
OR-140999,*,0,1,1,1,517.4761390367372,526.8148431732758,43.0
OR-145009,Roma,0,2,1,1,2740.3793858267886,5000.0,98.0
OR-145009,Firenze,0,2,1,1,1279.5410104139255,4000.0,85.0
OR-140999,Palermo,0,1,1,1,210.41605805529434,210.29945005595704,43.0
OR-140999,Palermo,0,2,2,1,1069.7084196388803,1033.0,21.5
OR-140999,Bologna,0,2,1,1,3462.5483104342375,4038.2311469659708,98.0
OR-140999,Palermo,0,2,1,1,566.9876704941545,1920.456049646241,98.0
OR-140999,*,1,3,1,4,3807.810985906111,3851.461492052432,98.0
OR-145009,Milano,0,2,2,1,1293.8842523285628,5200.0,85.0
OR-145009,Palermo,0,3,3,2,4946.1537825613705,5200.0,98.0
OR-145009,Cagliari,0,2,2,1,16975.22194460168,20000.0,237.0
OR-140999,Roma,0,2,0,2,1032.91,1033.0,43.0
OR-145009,Milano,0,1,1,1,590.8656903339835,592.026917349723,43.0
OR-145009,*,0,1,1,1,1488.1915133877571,2039.0174986692896,98.0
OR-145999,Firenze,0,2,0,2,250.0,365.430819436625,43.0
OR-145009,Firenze,0,1,0,2,500.0,500.0,43.0
OR-140999,Milano,0,2,0,2,1058.894327896315,4366.968341437922,98.0
OR-140999,Napoli,1,2,1,1,2347.3113901254965,2105.4150670994104,98.0
OR-140999,Palermo,0,1,2,0,451.8500453523462,536.2212810249135,43.0
OR-145009,Roma,0,2,1,1,1000.0000000000001,5000.0,98.0
OR-140999,Milano,0,1,1,1,958.1948050862715,932.4204008686688,43.0
OR-140999,Roma,0,1,1,1,687.0551740162639,699.6947404910899,43.0
OR-145009,Napoli,0,5,1,5,3903.4176373196988,5166.033943112484,98.0
OR-140999,Milano,1,1,1,2,277.6657498752343,251.8226165106775,43.0
OR-145999,Milano,0,1,0,2,2898.6704613115025,2895.952519898596,98.0
OR-145999,Roma,0,2,1,1,250.0,250.0,43.0
OR-145009,Bologna,0,1,1,1,1068.3054222617714,1098.6690053551438,43.0
OR-145999,Roma,0,1,1,1,276.0,274.15406155216124,43.0
OR-145999,Milano,0,1,1,1,1199.9999999999998,1205.0694027249417,98.0
OR-140999,Firenze,0,1,1,2,3630.544563388577,3644.171398273802,98.0
OR-145009,Genova,0,3,1,2,5548.628062113111,5000.0,98.0
OR-140999,Bari,0,2,2,1,5200.0,5200.0,98.0
OR-140999,Bari,0,2,2,0,4053.3317192651184,2000.0,49.0
OR-145999,Milano,0,2,2,1,1911.7434149355124,1800.0,98.0
OR-145999,Roma,0,3,1,2,1500.0,1627.7222630065612,98.0
OR-145009,Torino,0,1,2,2,2.0,6586.9363394191505,237.0
OR-145009,Torino,0,1,2,0,822.3797224503022,5000.0,98.0
OR-145009,Torino,0,3,1,2,1032.91,3259.070848744331,49.0
OR-140999,Palermo,0,2,2,1,2541.827158318497,4722.938844954821,98.0
OR-145009,Palermo,0,1,1,2,13342.331265939363,26000.0,237.0
OR-140999,Milano,0,1,1,1,2191.9598702360227,2907.6870246914727,98.0
OR-145009,Torino,0,2,0,2,4418.923296049579,5000.0,85.0
OR-140999,Genova,0,1,0,2,479.88942746020865,469.9505258024163,43.0
OR-145009,Torino,0,2,1,1,1100.0,5000.0,98.0
OR-145009,Torino,0,1,2,1,946.9260052042815,940.8247408221857,37.0
OR-145009,Milano,0,2,1,2,800.0,5200.0,98.0
*,Napoli,0,1,2,0,1015.9310534144497,1000.0,43.0
OR-140999,Napoli,1,2,1,2,250.0,690.2966750303493,43.0
OR-145009,Genova,0,2,1,1,1032.91,4650.881563861706,98.0
OR-145009,Genova,0,2,2,1,1549.4875332196975,2403.6709623713427,98.0
OR-145999,Napoli,0,2,1,1,449.3254358918707,1000.0,43.0
OR-140999,*,0,3,1,2,3954.773229398389,0.0,237.0
OR-145009,Milano,0,2,1,1,350.0,3405.0513628404833,85.0
OR-145999,Milano,0,3,1,4,891.7279094234889,1000.0,43.0
OR-140999,Bologna,0,1,0,2,3397.675384650459,4320.9230234221295,98.0
OR-140999,Genova,0,1,0,2,2531.521261898234,2520.0463683479716,98.0
OR-140999,Palermo,0,1,1,1,1007.5697307734617,1032.0,21.5
OR-145999,Palermo,0,2,1,1,2876.6809233783615,5152.968811681636,85.0
OR-145999,Genova,0,1,0,2,1365.0220430385561,1309.9870508358351,98.0
OR-145009,Torino,0,2,0,2,5631.328780873552,5200.0,237.0
OR-145999,Milano,0,2,1,1,721.3514826578256,718.3918726753393,43.0
OR-145009,Torino,0,2,1,2,322.87953613077735,306.8720304831632,43.0
OR-140999,Napoli,0,1,0,2,520.0865651288462,516.0,43.0
OR-140999,Palermo,0,1,3,0,5000.0,5000.0,98.0
OR-145009,Napoli,0,2,1,1,500.0,1344.9608516411815,49.0
OR-145009,Napoli,0,2,2,1,2211.0271013189094,26000.0,237.0
OR-145999,Palermo,0,2,1,1,3861.2478805238243,3938.788458975059,49.0
OR-140999,Firenze,0,1,1,1,1033.3432971740028,1522.86214942468,98.0
OR-140999,Milano,0,2,1,1,504.83724898631635,511.4424408359991,43.0
OR-140999,Milano,0,1,0,2,250.0,250.0,43.0
OR-140999,Firenze,0,2,1,1,817.1274707650251,852.0596963891288,43.0
OR-145999,Milano,0,2,1,1,2.0,628.906997146888,43.0
OR-140999,Cagliari,0,1,1,1,750.0000000000001,727.1483197324385,43.0
OR-145009,Napoli,0,2,2,1,4000.830535475536,8878.427716436845,237.0
OR-140999,Napoli,0,1,2,0,3890.1359739417117,4141.413773170162,98.0
OR-140999,Bologna,0,1,2,2,1000.0000000000001,1000.0,43.0
OR-145009,Firenze,0,2,1,1,6122.687443345793,20000.0,237.0
*,Milano,0,0,2,0,500.0,600.0,43.0
OR-145999,Milano,0,1,1,1,2141.977070267295,2141.725534432788,98.0
OR-140999,*,1,2,0,2,600.0,1000.0,43.0
OR-145009,Palermo,0,3,3,1,2257.7942107258364,4988.454061236272,98.0
OR-145999,Firenze,0,2,0,2,350.0,1816.4044858622542,49.0
OR-140999,*,0,3,4,0,1311.758630906449,3500.0,98.0
OR-140999,Cagliari,0,1,1,1,400.00000000000006,405.46070476687134,43.0
OR-145009,Venezia,0,1,1,1,1472.4889892772871,1500.0,98.0
OR-145009,Milano,0,2,1,1,672.5637334328966,1145.9001997103114,43.0
OR-145009,Milano,0,2,1,1,3500.0,3520.403992824728,98.0
OR-145999,Cagliari,0,1,1,1,1073.4998843243923,1022.3747487135952,43.0
OR-145999,Roma,0,2,1,1,966.6290899862562,954.6365964274098,43.0
OR-145009,*,0,2,1,1,800.0,2000.0,85.0
OR-145999,Milano,0,1,2,1,420.72733679039163,405.25888429969126,43.0
OR-140999,Roma,0,2,1,2,0.01,0.0,98.0
OR-145999,Milano,0,1,2,0,1708.2824095132767,1728.9117934349817,98.0
OR-145009,Bologna,0,5,4,3,6320.815072481257,11437.178189766064,237.0
OR-145009,Milano,0,1,2,1,1758.9198599795038,3848.003440074046,98.0
OR-140999,*,0,1,1,1,3549.6639712149854,3560.5807088224847,98.0
OR-145009,Bari,0,3,2,2,351.14171267816135,5200.0,98.0
OR-145999,Venezia,0,2,1,1,2808.9505107758655,2791.0054150593487,49.0
OR-145999,Milano,0,2,0,2,4015.6764265707043,4000.0,98.0
OR-140999,Palermo,1,2,1,4,238.7819875488115,350.0,43.0
OR-140999,Napoli,0,2,1,1,937.0185078524538,951.164954469765,43.0
OR-140999,Napoli,0,2,2,1,2725.3432344088174,15599.49408055417,237.0
OR-140999,Milano,0,1,2,1,955.2824690922588,948.8082048364753,37.0
OR-140999,Napoli,1,1,1,2,464.85065889923317,443.14223573166976,43.0
OR-145999,Milano,0,2,0,3,4437.535972373625,5200.0,237.0
OR-145009,Palermo,0,2,2,1,3872.8241289217976,8955.254197421194,237.0
OR-140999,Bologna,0,1,1,1,145.40322514411884,143.45720521253847,43.0
OR-140999,Napoli,1,3,1,2,125.12666237351118,323.54862800341937,42.5
OR-145009,Napoli,0,2,2,2,2295.4453869800986,2544.2093563319313,98.0
OR-140999,Firenze,1,2,1,3,1.0,4284.516772475091,98.0
OR-145009,Bari,0,2,2,1,1101.0703489654688,2000.0,98.0
OR-145999,Torino,0,1,0,2,500.0,500.0,43.0
OR-145999,Torino,0,2,1,1,250.0,250.0,43.0
OR-145999,Milano,0,1,1,1,157.36857506592705,167.38816343184294,43.0
OR-140999,Napoli,0,2,1,1,79.14575272625365,87.9539091225922,21.5
OR-140999,Napoli,0,1,1,1,515.8230263893779,516.0,43.0
OR-145999,Roma,0,1,1,1,359.0839527748058,353.9229669928852,43.0
*,Torino,0,1,0,2,250.0,250.0,43.0
OR-140999,Milano,0,1,0,2,531.9582623539326,540.6149760431192,43.0
OR-140999,Milano,0,1,0,2,3684.0890401721153,3500.0,98.0
OR-145999,Milano,0,2,1,1,650.0,1032.0,43.0
OR-140999,Palermo,1,2,1,2,1733.05387121176,1542.602718485285,98.0
OR-145009,Milano,0,3,2,1,4345.278533577284,5000.0,98.0
OR-145009,Cagliari,0,2,2,1,1819.6144902545827,5200.0,85.0
OR-140999,Bari,0,2,0,2,4086.1981751633075,4199.938279472992,98.0
OR-140999,Milano,0,1,2,0,4895.432148305937,4945.6881900564085,98.0
OR-145999,Torino,0,2,1,1,2762.083910089389,2849.698882528158,98.0
OR-140999,Torino,0,2,0,2,5000.0,5000.0,98.0
OR-140999,Cagliari,0,2,1,1,3001.03521938735,4624.267393261098,85.0
OR-140999,Roma,0,1,1,1,1199.9999999999998,1224.9396515596989,98.0
OR-145999,*,0,1,1,1,2000.0046632811445,2000.0,98.0
OR-140999,Napoli,0,2,0,2,500.0,500.0,43.0
OR-140999,Napoli,0,1,4,1,999.2254579468895,1000.0,43.0
OR-140999,Genova,0,2,0,2,2406.389404097835,3151.3255635934884,98.0
OR-145009,Napoli,0,4,2,2,1428.8761427342724,10908.167592126985,206.0
OR-145999,Milano,0,2,1,1,1032.9941964259992,3000.0,98.0
OR-145009,Torino,0,1,1,2,400.00000000000006,289.66378142003305,43.0
OR-140999,Firenze,0,2,0,2,4034.7503194934043,3905.9088788285644,49.0
OR-140999,Roma,0,1,1,1,266.38653137433937,261.0489213969937,43.0
OR-140999,Milano,0,3,2,1,2051.2994373586407,2026.9704441199128,49.0
OR-140999,Napoli,0,1,1,1,686.1197179560146,693.2029084497448,43.0
OR-145009,Palermo,0,3,2,1,1300.0,3455.1471409771643,85.0
OR-145009,Palermo,0,1,2,2,1799.5839750473835,1780.2280279281085,98.0
OR-145009,Milano,0,2,2,1,7839.167625023313,10713.21652888606,237.0
OR-140999,Bari,0,2,1,1,5000.0,5200.0,98.0
OR-145009,Milano,0,1,2,1,1288.9218995321664,1276.0283484043123,98.0
OR-140999,Palermo,0,1,1,2,250.0,365.1023456148358,43.0
OR-145999,Genova,0,1,1,1,1096.8069932671413,1093.7547001968317,43.0
OR-140999,Palermo,0,2,2,1,1710.3370085922054,3094.090382485505,98.0
OR-145009,Milano,0,3,2,1,1432.8406977982079,5200.0,98.0
OR-145999,Firenze,0,1,1,1,250.0,500.0,43.0
OR-145009,Roma,0,6,5,1,1509.5201179937028,2966.199062126547,98.0
OR-145009,*,0,2,1,2,6392.575075676908,16503.64033874518,237.0
OR-140999,Milano,0,2,2,0,250.0,262.5746130989928,43.0
OR-140999,Milano,0,1,1,1,1032.91,1032.0,43.0
OR-140999,Bari,0,2,2,0,5000.0,5000.0,49.0
OR-145009,Cagliari,0,2,3,1,2546.538631347529,5200.0,98.0
OR-145999,*,0,1,1,1,393.3467956709451,393.2498561228813,43.0
OR-140999,Roma,0,2,1,2,200.0,210.1358077755785,37.0
OR-145009,Genova,0,2,1,2,2578.867523338191,5000.0,98.0
OR-140999,Roma,0,1,2,0,500.0,500.0,43.0
OR-140999,Milano,0,2,1,1,900.0,900.0,43.0
OR-145009,*,0,4,3,2,6907.117834278455,17402.758927383344,206.0
OR-145009,Roma,0,2,6,1,330.05301838457643,1037.8663546879197,43.0
OR-140999,*,0,1,1,1,250.0,400.0,43.0
OR-145999,Torino,0,2,0,2,250.0,250.0,43.0
OR-145999,Torino,0,1,0,2,1393.5467791755393,1397.5767401991297,98.0
OR-145009,Bologna,0,2,1,2,2388.412257741309,26000.0,237.0
OR-145009,Milano,0,1,2,1,2616.8408333090606,5000.0,98.0
OR-140999,Milano,0,1,1,1,223.40747455170816,239.70427245993483,43.0
*,Milano,0,2,1,1,2.0,136.08418391859746,21.5
OR-140999,Palermo,1,2,1,2,2521.204292180758,2302.3603088069226,98.0
OR-145009,*,0,2,1,1,954.845199107486,1033.0227426765084,43.0
OR-140999,Milano,0,2,0,2,1339.7328757631624,1351.4315418494657,49.0
OR-145009,Torino,0,2,0,2,1.0,4624.764167667643,49.0
OR-140999,Firenze,0,3,3,1,2453.778866593333,3481.340604739391,85.0
OR-140999,Palermo,1,2,1,2,317.7469800951525,302.48647638377327,43.0
OR-145999,Firenze,0,1,1,1,113.2442404123065,129.8358709529667,43.0
OR-145009,Milano,0,2,1,1,4817.949810881688,4775.80799019609,98.0
OR-140999,Milano,0,1,2,0,2468.942034930829,2500.0,98.0
OR-140999,Bologna,0,2,0,2,900.0,946.8429838687929,21.5
OR-140999,Venezia,0,1,0,2,721.1742635450546,735.0375104874873,43.0
OR-145009,Milano,0,2,1,1,1900.0,2500.0,98.0
OR-140999,*,0,1,0,2,300.12185932847507,298.4805753920725,43.0
OR-140999,Milano,0,2,0,2,791.2194133548353,800.0,43.0
OR-140999,Roma,0,1,1,1,494.88486099577307,493.1061260911758,43.0
OR-145009,Torino,0,1,1,1,1357.3958692510162,1349.2888752535926,98.0
OR-145009,Bologna,0,1,1,1,550.7575298188057,545.7818416888965,43.0
OR-145009,Torino,0,1,1,2,1079.1158432659588,2014.9422550280267,98.0
OR-145009,Palermo,0,2,1,1,5419.977573843737,5487.469057834362,237.0
OR-140999,Cagliari,0,1,2,0,500.0,500.0,43.0
OR-145999,Palermo,0,2,1,1,1500.0,1600.0,98.0
OR-145999,Firenze,0,2,1,1,500.0,500.0,43.0
OR-140999,Roma,0,1,0,2,656.3884419136516,662.6262926503983,43.0
OR-145009,Venezia,0,2,1,3,2577.2100065373306,3750.824098787381,98.0
OR-145009,Milano,0,2,1,1,4577.084183240727,5000.0,98.0
OR-140999,Genova,0,1,2,0,2066.2717196753247,2011.66288836719,98.0
OR-145009,Genova,0,2,2,2,845.8478891909187,7395.281795942226,206.0
OR-140999,Bologna,0,1,1,1,291.5249510910235,300.0,43.0
OR-140999,Milano,0,1,1,1,304.88758460742906,308.67272245791935,43.0
OR-140999,Napoli,0,1,0,2,500.0,500.0,43.0
OR-145999,Milano,0,2,1,1,1463.9899651788694,1586.8227699614665,98.0
OR-140999,Napoli,0,2,1,1,1736.449320155193,1788.7690864842177,98.0
OR-145009,*,0,3,1,2,2958.5852278178936,2808.187208169526,98.0
OR-145999,Roma,0,2,1,1,529.7249516392723,1020.8639768643372,43.0
OR-145009,Milano,0,2,1,1,1578.6808711676827,2340.9285467897325,98.0
OR-140999,Napoli,1,2,1,2,280.8079936181977,1000.0,43.0
OR-145009,Milano,0,2,1,1,1087.2798704599043,1902.8189208930987,85.0
OR-145999,Milano,0,1,1,1,113.32789191879772,122.60400756360862,43.0
OR-145009,Napoli,0,2,3,1,5950.707289562886,19103.02368928533,237.0
OR-145009,Palermo,0,2,4,1,5239.455188972266,7517.401439332163,206.0
OR-140999,*,0,1,1,1,500.0,500.0,43.0
OR-140999,Milano,0,1,1,2,710.7748226447901,650.6820032030358,43.0
OR-145999,Palermo,0,2,1,1,4500.0,5000.0,85.0
OR-145999,Genova,0,2,0,2,2000.0,4686.031911980303,98.0
OR-140999,Firenze,0,1,1,1,850.0,880.371551933881,43.0
OR-145999,Bari,0,1,1,1,1923.2170037406581,2000.0,98.0
OR-140999,Milano,0,1,1,1,516.500625256233,567.722264620149,43.0
OR-140999,Roma,0,5,4,1,418.96777393033443,444.27151588619034,21.5
OR-140999,Napoli,0,1,2,2,1600.6833599025774,4842.540940487003,98.0
OR-145999,Milano,0,2,0,2,961.5297150254999,977.3601588047476,43.0
OR-140999,Palermo,0,1,1,1,2028.3806404863121,2045.7099291859765,98.0
OR-140999,Milano,0,2,1,1,1315.872061681011,1396.3795361395023,98.0
*,Milano,0,1,1,1,1082.731146323976,1033.0,43.0
OR-145009,Venezia,0,2,1,1,2450.264171472944,2461.279690419507,49.0
OR-140999,Milano,0,2,1,1,292.39800611915626,600.0,43.0
OR-145999,Milano,0,1,0,2,2000.0,1990.9419079847623,98.0
OR-145999,*,0,2,1,1,2944.0821472450943,5200.0,98.0
OR-140999,Genova,0,2,0,2,3178.3227948197446,3056.5720329512683,119.62771436377507
OR-140999,Cagliari,0,3,3,0,1194.7368615829703,1098.778360520128,37.0
OR-140999,Torino,0,1,1,1,301.47528409525654,307.43452533328593,43.0
OR-145009,Palermo,0,1,1,1,2762.2842257483203,2766.583069031072,98.0
OR-145009,Torino,0,1,1,1,749.679177399279,5200.0,98.0
OR-145999,Milano,0,1,0,2,400.00000000000006,394.51918634711114,43.0
*,Torino,0,1,1,1,289.5099190956387,288.3658330182058,43.0
OR-145999,Bari,0,2,1,1,2903.8638848917235,19801.48036524717,206.0
*,Milano,0,1,1,1,444.07211862968904,450.0,43.0
OR-145999,*,0,1,1,1,3971.4940553672122,4000.0,98.0
OR-145009,Palermo,0,2,1,1,11694.934710283855,11653.55732738716,237.0
OR-145009,*,0,2,0,2,4993.170081212566,5000.0,98.0
OR-140999,Milano,0,1,0,2,750.0000000000001,733.0270706633767,43.0
OR-145009,Napoli,0,2,0,2,3481.7022849035625,3446.323203800008,49.0
OR-140999,Milano,0,1,2,0,1100.0,1066.6825012993443,43.0
OR-145999,Cagliari,0,1,0,2,1767.6632088841434,1695.892455921028,98.0
OR-140999,Bari,0,1,2,0,2563.3628677986712,2659.0641788715047,98.0
OR-145009,Milano,0,1,1,1,342.40203756357175,346.4892832929763,43.0
OR-140999,Milano,0,2,0,2,1382.2950890234706,1400.0,98.0
OR-140999,*,0,1,3,1,2599.1609926666783,4628.930775113334,98.0
OR-145999,Napoli,0,1,1,1,653.829424417448,668.9500690298994,43.0
OR-145999,Milano,0,2,1,1,1880.8367126506027,12164.93296278941,237.0
OR-145009,Milano,0,2,1,2,6325.252021218444,9052.392421758257,237.0
OR-145999,Genova,0,1,1,1,352.23357242329746,356.18608431998837,43.0
OR-140999,Genova,0,2,2,0,2439.6623616023667,2470.6818953565853,98.0
OR-145999,Milano,0,2,0,2,2595.1106259816243,2485.315818270189,49.0
OR-145999,Milano,0,1,0,2,680.6509731096371,663.5533730251847,43.0
OR-145999,Milano,0,2,1,2,2357.434778530032,2199.2791448390185,98.0
OR-145999,Milano,0,1,1,1,517.7202071690645,525.2280259132968,43.0
OR-145999,Milano,0,1,1,1,1800.0,1825.5195334415316,98.0
OR-145009,Torino,0,2,2,1,554.6145392194926,2804.0708150023183,98.0
OR-145009,Torino,0,2,1,1,200.0,628.4062806673408,43.0
OR-145009,Cagliari,0,1,1,1,3189.402072573576,3860.7181040123564,98.0
OR-140999,Bologna,0,2,2,0,3130.34653946113,3079.6046668689396,98.0
OR-140999,Palermo,0,2,1,3,1730.1610432050397,1647.9221597540945,98.0
OR-145999,Napoli,0,1,0,2,254.28427041741168,251.15438526135532,43.0
OR-140999,Venezia,0,0,1,1,434.0719214642378,400.0,43.0
OR-145999,Palermo,0,2,0,2,3500.0,9222.957300710032,206.0
OR-145999,Bologna,0,2,0,3,4584.75143469495,5544.380124161902,237.0
OR-140999,Palermo,0,2,1,1,1198.575916406488,1200.0,98.0
OR-145009,Milano,0,2,2,1,650.0,5200.0,98.0
OR-145009,Torino,0,2,1,1,1.0,5200.0,237.0
OR-140999,Bari,0,1,2,0,568.7823553547888,532.0906286035521,43.0
OR-145009,Milano,0,1,1,1,5000.0,5000.0,98.0
OR-145009,*,0,2,1,2,7098.560908412849,9492.325420991914,237.0
OR-145999,Milano,0,2,1,1,2500.0,5154.599613365931,98.0
OR-140999,Napoli,0,3,1,2,547.8256288185513,838.124557872793,37.0
OR-140999,Milano,0,2,1,1,900.0,891.748482463719,43.0
OR-145999,Bologna,0,1,2,2,879.8564708590021,851.7561682166702,43.0
*,Torino,0,0,2,0,500.0,500.0,43.0
OR-140999,Milano,0,2,0,2,2437.714300431278,2441.562555120069,49.0
OR-145009,Palermo,0,2,1,1,3121.9312259220883,5000.0,98.0
OR-140999,*,0,1,2,0,482.1682297058507,474.8990138696062,43.0
OR-140999,Milano,0,1,1,1,183.4896911178484,198.72685347461507,43.0
OR-140999,Milano,0,2,1,1,2981.532937434041,2917.251222242355,98.0
OR-140999,Napoli,0,1,1,1,1122.0533095182966,1149.7903832009401,98.0
OR-145999,Napoli,0,2,1,1,280.25491260775374,286.03353049576015,43.0
OR-140999,Milano,0,2,1,2,1.0,0.0,43.0
OR-140999,*,0,1,1,1,500.0,500.0,43.0
OR-145009,Milano,0,2,1,2,300.0,2844.387479307664,98.0
OR-145999,Genova,0,1,0,2,626.851662366199,769.4430828656466,43.0
OR-140999,Milano,0,2,1,1,5000.0,5000.0,49.0
OR-145999,Milano,0,1,1,1,500.0,793.3509896612542,43.0
OR-140999,Palermo,0,2,1,1,3220.9903234133008,4503.4002087845,98.0
OR-145009,Palermo,0,6,4,2,18696.79133733969,18870.30008715383,237.0
OR-145009,*,0,2,1,1,417.8939155510937,426.41681717252084,43.0
OR-140999,*,0,3,4,1,900.0,1000.0,43.0
OR-145009,Torino,0,2,1,1,2801.8332750437894,3866.891118484508,98.0
OR-140999,Napoli,0,3,1,2,274.62497113256256,2694.431228631017,98.0
OR-145009,Torino,0,3,2,1,1000.0000000000001,1000.7880582452995,43.0
OR-145999,Palermo,0,2,1,1,973.0212797296037,991.9256295207234,43.0
OR-145999,Cagliari,0,2,1,2,200.0,62.466969688731524,43.0
OR-145009,Napoli,0,4,3,1,2096.4345110498125,5200.0,98.0
OR-140999,Genova,0,2,0,3,16751.724275427237,20000.0,237.0
OR-140999,Milano,0,1,0,2,320.764846347619,314.81652434604746,43.0
OR-145009,Bari,0,3,2,1,20000.0,20000.0,237.0
OR-140999,Napoli,1,1,1,2,1100.0,1076.3396471221615,43.0
OR-145009,Torino,0,3,0,3,0.01,7638.153567915262,237.0
OR-145999,Torino,0,2,1,1,500.0,500.0,43.0
OR-140999,Palermo,1,2,1,2,1880.455989620785,3000.0,98.0
OR-145009,Torino,0,1,1,1,2823.3832792943035,2893.0308341956174,98.0
OR-140999,Napoli,0,2,3,1,2070.5683457531873,2187.5063122099064,98.0
OR-145999,Cagliari,0,2,1,1,3999.1814959678372,4004.730484187961,49.0
OR-145999,Bari,0,2,0,2,2000.0,2003.4003798657268,49.0
OR-140999,Milano,0,1,1,1,510.8831762520017,501.89242399362996,43.0
OR-145009,Palermo,0,3,3,1,2334.334431498561,15000.0,237.0
OR-145999,Genova,0,2,2,1,1420.3753609969317,1384.196569310256,98.0
OR-145009,Firenze,0,2,1,1,900.0,1969.902379449353,49.0
OR-145999,Milano,0,2,1,2,3196.9095594904843,4239.663554066409,98.0
*,Torino,0,2,0,3,1125.3004152849223,3867.304214265328,98.0
OR-140999,Napoli,0,2,3,1,901.6592138908596,5200.0,98.0
OR-140999,Bari,0,1,1,1,1032.91,1025.5455877479862,43.0
OR-140999,Milano,0,1,1,2,2657.886845346593,2599.6268911621682,98.0
OR-140999,Napoli,0,1,2,1,767.5666741405078,1032.0,43.0
OR-145009,Milano,0,3,1,2,5247.506846687663,5200.0,98.0
OR-145999,*,0,2,2,0,1101.9768171234118,1000.0,43.0
OR-140999,Palermo,1,2,1,2,187.03323471474266,250.33386472839584,43.0
OR-140999,Milano,0,1,1,1,595.028911770752,588.1880045429666,43.0
OR-140999,Milano,0,2,1,2,7283.818277880355,14024.77193069506,237.0
OR-140999,Palermo,0,2,2,1,1115.4832475124213,1200.0,98.0
